epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,3868.49,0.59449,0.41413,0.94458,0.98664,0.98349,0.99228,0.85198,0.63083,0.28902,0.99123,0.000232907,0.000232907,0.000232907
63,3930.87,0.58504,0.40506,0.93834,0.98296,0.97887,0.99213,0.85374,0.63697,0.29942,0.9836,0.000227086,0.000227086,0.000227086
64,3993.19,0.58972,0.41017,0.9389,0.96113,0.99092,0.99197,0.84534,0.64826,0.29723,0.99224,0.000221264,0.000221264,0.000221264
65,4055.08,0.58756,0.41288,0.94015,0.97203,0.98322,0.99233,0.85403,0.64196,0.29462,0.99954,0.000215443,0.000215443,0.000215443
66,4116.92,0.57675,0.40598,0.93625,0.97444,0.98243,0.99169,0.85073,0.63427,0.28917,0.9838,0.000209622,0.000209622,0.000209622
67,4178.8,0.58272,0.4026,0.93502,0.96594,0.99041,0.99129,0.85465,0.61767,0.28797,0.98908,0.000203801,0.000203801,0.000203801
68,4240.73,0.57661,0.40147,0.93734,0.9783,0.98812,0.99239,0.85032,0.60462,0.27898,0.97508,0.00019798,0.00019798,0.00019798
69,4303.5,0.56694,0.39721,0.93103,0.97608,0.98513,0.99241,0.85713,0.60571,0.27856,0.96877,0.000192158,0.000192158,0.000192158
70,4365.76,0.57,0.39649,0.93151,0.98094,0.98869,0.99358,0.86313,0.60714,0.26852,0.97118,0.000186337,0.000186337,0.000186337
71,4428.12,0.56174,0.39085,0.93091,0.97219,0.98798,0.99238,0.86252,0.61291,0.28438,0.9819,0.000180516,0.000180516,0.000180516
72,4490.28,0.55642,0.3828,0.92605,0.97551,0.98568,0.99246,0.86221,0.60787,0.27827,0.9686,0.000174695,0.000174695,0.000174695
73,4552.46,0.55653,0.38335,0.92687,0.95871,0.98789,0.99202,0.85881,0.61398,0.28835,0.97311,0.000168874,0.000168874,0.000168874
